cardNUMBER,expiry,cvv,accountNUMBER,cardTYPE,cardLIMIT
143435604,2022-08-09,656,35651512,DEBIT,$6509.36
267291922,2022-04-29,400,231653468,CREDIT,$5784.95
389789801,2024-12-16,518,241183081,DEBIT,$2645.70
661268500,2024-09-16,745,384590284,DEBIT,$4103.63
1369136420,2024-10-16,248,401496724,CREDIT,$8366.13
1519271875,2024-01-10,224,425752291,CREDIT,$2128.11
1634201566,2024-04-20,887,467817529,DEBIT,$9444.10
1681364174,2025-08-07,927,476191165,DEBIT,$9509.07
2073254586,2022-10-07,460,542589311,DEBIT,$3087.94
3273566159,2025-12-21,727,570010152,CREDIT,$9014.30
4254090471,2025-02-17,231,714536245,CREDIT,$2225.45
4790898865,2024-07-12,772,727062689,CREDIT,$6093.69
4843512761,2024-04-08,395,740013130,DEBIT,$9456.48
6248051291,2025-03-14,308,802855121,CREDIT,$7378.13
6432741408,2023-05-18,798,974477990,CREDIT,$7359.95
6548767136,2023-07-09,876,980845009,CREDIT,$5655.99
7261239275,2025-01-24,807,1139017594,CREDIT,$2672.17
7368081520,2023-12-10,263,1183734530,DEBIT,$3120.36
7652043980,2022-06-25,703,1214750028,CREDIT,$4080.84
7666609248,2026-02-03,677,1336315253,DEBIT,$9818.48
7823939428,2024-05-21,800,1436744318,CREDIT,$9581.65
8076202353,2023-05-29,250,1484629884,CREDIT,$7758.00
8484878430,2023-12-20,716,1550005782,DEBIT,$8121.48
8610959694,2022-10-03,423,1591582989,CREDIT,$4740.36
8783152733,2022-07-24,316,1709746386,DEBIT,$2803.06
8909268492,2025-04-23,839,1743767064,DEBIT,$6246.68
8995240040,2023-05-27,463,1780888287,DEBIT,$7608.10
9035451538,2024-06-16,781,1840636149,CREDIT,$9306.51
9275658161,2022-09-24,127,1859438385,DEBIT,$5497.53
9636008434,2022-02-28,204,2018504355,DEBIT,$6359.30
