customerID,accountNUMBER,customerNAME,customerADDRESS,userID,DoB,creditSCORE
5884137,2532245921,"Pepito Moral","2799 Haas Alley",200,1922-12-24,123
9164615,4718716470,"Britt Delnevo","1541 Texas Drive",108,1968-07-26,654
16981624,9970660632,"Kip Mullins","6 Dawn Hill",9,1941-06-20,345
20250230,5902832160,"Krista Stuttman","41 Birchwood Center",70,1989-12-28,876
21754036,6333822612,"Harlin Osorio","5 Vidon Alley",18,1975-06-16,567
25124140,6938604568,"Will Harmour","284 Oakridge Plaza",126,1947-01-23,543
37396226,260155470,"Yank Catterall","3452 Oriole Crossing",83,1958-06-29,678
39530215,3905925990,"Mariette Pennyman","6143 Continental Alley",174,1962-09-26,975
55542607,1030357269,"Amargo McGrah","694 Derek Circle",66,1924-08-18,234
56716857,3013898879,"Carol-jean Quidenham","676 Butternut Avenue",102,1970-08-16,675
59015346,5668187330,"Felice Boner","65 Hooker Avenue",137,1933-03-30,123
59781295,6770735709,"Lydia Dybald","5 Scofield Alley",59,1981-07-04,456
67597894,6972542049,"Giovanna Gaddes","6 Corscot Lane",19,1957-03-04,789
72180064,8988856341,"Umberto Petti","31468 Nobel Hill",168,1988-07-05,543
77188736,2508041440,"Esteban Brogini","282 Waubesa Terrace",24,1978-06-26,235
80656987,4258764132,"Ravi Heustace","9932 Carey Way",138,1965-05-23,864
89348078,8773468738,"Glory Slainey","3817 Dawn Circle",51,1965-12-07,356
90782215,8714395428,"Carmina Celez","0 Chive Circle",42,1974-01-03,899
99989334,6413912723,"Filberto Freire","8075 Orin Plaza",94,1992-08-30,654
102893427,5339584089,"Dallon Mamwell","0 Hanson Road",82,1927-09-07,456
110047830,157479056,"Costanza Dudmesh","3 Glendale Drive",50,1996-10-31,433
110624578,514942835,"Millisent MacWilliam","29 Graceland Hill",180,1964-12-08,234
116133175,5804479075,"Leigh Becaris","9 Monument Court",181,1981-04-30,234
116191425,6162490971,"Irwin Samworth","4224 Washington Place",49,1996-08-18,567
118345743,8353600935,"Curran Miklem","138 Westridge Park",1,1958-11-01,657
124945914,8578485513,"Mildrid Pranger","1 Coolidge Pass",100,1935-10-18,874
131897004,5508273883,"Ardene Drennan","41 Hanson Terrace",57,1972-06-18,346
133570122,9118043453,"Paloma Acarson","4474 Golden Leaf Street",35,1958-11-21,678
135640892,8747002557,"Michel Bolstridge","6 Graedel Circle",80,1981-07-25,122
146957605,1565095928,"Hanni Portlock","105 Autumn Leaf Pass",199,1961-08-16,345
153463800,1447574737,"Denver Daingerfield","58295 Hovde Drive",17,2001-01-05,678
154714505,1269155849,"Eliot De Avenell","2 Porter Junction",190,1970-08-07,767
162640020,9964407106,"Louie Bridgewood","0 Roxbury Way",91,2002-12-01,654
163695324,2603196634,"Si Folks","540 Veith Plaza",32,1993-05-06,456
169007177,8003485908,"Merci Zanetello","82 Banding Point",122,1989-12-25,345
185577855,4231779287,"Jaquenette Whatmough","510 Longview Place",129,1956-03-17,543
187939704,9646674798,"Dulce Furmonger","68 Darwin Road",175,1971-05-27,123
204467387,5505376223,"Keir Lillicrap","6410 Forest Avenue",23,1957-08-07,321
205267438,8550024309,"Yorgo Marushak","14 Sunnyside Circle",43,1942-08-27,234
