userID,userTYPE,password
1,banker,KSCzWV
2,customer,7h1BsJmOw
3,banker,bBwkdCQx0
4,banker,AUzlBCKC
5,customer,WWzVbV2HJ
6,customer,annTlyjr
7,customer,89RVxy
8,banker,v5oBq8760leC
9,banker,53PAVXfp
10,banker,VukgfYsk
11,customer,SOcEW2GeaSn
12,banker,EdshCIV
13,banker,Slj1xH
14,customer,FfwtvFzo5T
15,customer,VrPF042J
16,customer,cHfw8eY
17,banker,C1XLBhO1sl0G
18,banker,4cy6yK
19,banker,ZfbcxPBYo
20,customer,V2Ksi2pvqf2
21,banker,sIil80oq
22,cuatomer,FkKrOv4
23,customer,PA7tENHzQ
24,customer,aJ1Xkfykm
25,banker,cY2qHKxd
26,banker,BUfxlf
27,customer,6QtUsq
28,customer,wAwQr8ZhZ4
29,customer,AUEsd5lMNWn6
30,customer,R0yD6m
31,customer,PvyQLI4GEy
32,customer,S8mO43rALky8
33,customer,thwlGgq
34,customer,dtFqXFLai
35,customer,OnUkVT3gusm
36,cutomer,wJRVJPcwDx
37,banker,wj8k3PCcu2S7
38,banker,L78OMZXAZq
39,banker,1FXo0j
40,banker,hryaWFwp
41,banker,5JqiEsaqF
42,customer,oQCxFHyDipcF
43,customer,yEPi4uET
44,customer,8mPBCEF
45,banker,PsEKOZf3B
46,banker,04yIQOFT27o
47,customer,RW5gSGpk
48,customer,epSAWD8o
49,banker,zpeLn53m
50,customer,dfHkYtsLJb
51,banker,v2ib7AD75
52,customer,48RwoEc9ZSaJ
53,customer,5GlRScHBIqL8
54,customer,3C5eNhGZB8G
55,banker,ALGWozuYDKM
56,customer,6fOMomdo
57,banker,1gTCtx
58,banker,YjO19hVCNpK
59,customer,au344ToFZ
60,customer,Xlw1iEu4xAx
62,customer,JuRuaWvcgb
63,banker,dkaKwpm
64,banker,JhBkitM1r70
65,banker,GTGTNn
66,customer,5YyMjZ9FWMn
67,customer,FY2fYQBFM
68,banker,wJ5A0LX8r
69,banker,un5Lv7bwu9
70,customer,NCvDmU
71,banker,IVtHaX
72,customer,p9gsxPBbbcXg
73,banker,aHvVSlnje6n
74,banker,N64GRQM
75,banker,rEwsppJ09z
76,customer,q8AvthWxrmdS
77,customer,Epfo3zFTr
78,customer,ktsU9EvB
79,customer,AtYyq2
80,customer,hXTkSw3Ke
81,banker,8ylWEWE
82,banker,gffa26
83,customer,p4giSAvPpHU
84,banker,zsyObkDcMA6
85,banker,COXSw532swh
86,banker,pLCNY2U4Y
87,customer,CHE0Xd
88,customer,8ip47btWb9l
89,customer,cYyJeMT2LmGu
90,customer,LVGkWRt
91,banker,sVmrwC896mQ
92,banker,yZiO5UI7gk
93,banker,ETZ4ubO
94,banker,8ZxCJOTg42
95,banker,aALtsiev9r
96,customer,MdGEsbbn
97,banker,ZoGaNv
98,customer,BScOcTyqn
99,banker,SOKcMRki8
100,banker,iNl7dWLlD
101,customer,zdyRkzcZrARl
102,banker,XFTRjVTFc
103,banker,X7XygYECfsO
104,banker,76t3vfT9L
105,customer,yySal9TGh
106,customer,x5GkJGMTaj
107,customer,jdvDRYDiG
108,customer,uAhnGScSywT
109,banker,smgZz0qti
110,banker,VCRDls0GFd
111,customer,qalGl9
112,customer,UxGGqp
113,banker,WizuefxDKI
114,customer,rI8wsgb
115,banker,2FqX4vZ
116,customer,QTsF8GvVFzyC
117,banker,3U63eft
118,banker,lC540o1Fm7P
119,banker,sxJA1LT
120,customer,BxVF0PsgjK4b
121,customer,4ZN5kx
122,customer,MtKx6D7Lq3w
123,customer,bfWcuA
124,banker,uRbVH4r9lxdF
125,customer,KlkLz75y
126,banker,tTZIQwNnjsZ
127,banker,nLAs2CeCH
128,banker,JtvOvLXQyQx
129,banker,BziVsTBQBNd
130,customer,XJ5pn8xc7
131,banker,NuhrmN
132,customer,ZstiJCtdsGc
133,banker,WmGTHJPuV5x
134,customer,bWDq32bmEx
135,banker,MoLQxnq
136,banker,J0IV34Cy1X
137,customer,GhYwgVTqgtCU
138,customer,d7kmTosmA
139,customer,6vzIUyN
140,banker,AvQFfrPzIn97
141,banker,iFLaN3ylb
142,banker,jLKhyAYxeP
143,banker,g7ZRC0kIa
144,customer,r3s0tm2
145,customer,Oe5utW
146,customer,wT6NVbMWcCSZ
147,customer,OYmm6c5q7
148,banker,tyX7iX
149,banker,uLOGe1ufsV
150,banker,ro4LaJgV
151,customer,gxYacV4Izd
152,customer,kouuSDrocz
153,banker,6CNkH69NKc5
154,banker,lMSJ4Gaw7h4
155,banker,FK3nYI
156,banker,urjWXX
157,customer,nToTIorErt
158,customer,o9QHqkNMM
159,banker,mSgeTG
160,customer,y4OxCiXlU
161,customer,ryHkzS4hx
162,banker,n4H2r3LjX
163,customer,bgiDRt
164,customer,WA2guQOjuDsw
165,banker,OdyiPXQ
166,banker,IeQoDUAX
167,banker,eofH5I9vHdc
168,customer,WlpJo8lh3uvW
169,customer,6LgqjBmQXc
170,banker,SjDs6hPxgeI
171,banker,RjkK8uD
172,banker,MGe9PF
173,customer,YgIhzg4fba
174,customer,IfJn1QhDBX
175,banker,Ugcl4PG0SG7W
176,customer,s6rxxG
177,banker,zM60cc
178,banker,eUtcExiM
179,banker,BOBEjPN
180,banker,GYtiYz
181,customer,weKOCijmX
182,customer,CeD2v3
183,customer,eHGrco
184,customer,h9PZ91A
185,customer,Np5fTz1GP13r
186,banker,cDSNf9x7
187,banker,5y9ANFjRu
188,banker,yePxndl8p
189,customer,yvLDLD
190,banker,dfLjq59DgUe
191,customer,gAViC0mQr
192,banker,PfsA0IUH13vZ
193,customer,DrfoAZ
194,banker,ejW79LxK
195,banker,5n6KSjgUCO5L
196,customer,8n6K55jgUCO5L
197,banker,00n6KS7g7CO5L
198,customer,1dR5SjgUCO1d
199,banker,5n62gHjgUCO5L
200,customer,5n5MMmnGjgUCO5L
